역구간,평균_분,표준편차,최소_분,최대_분,측정횟수
연천 ↔ 전곡,7.5,0.0,7.5,7.5,59
성환 ↔ 평택,6.5,0.04,6.0,6.5,360
당정 ↔ 성균관대,5.5,0.0,5.5,5.5,2
병점 ↔ 서동탄,5.0,0.0,5.0,5.0,136
소요산 ↔ 청산,5.0,0.5,4.5,5.5,118
광명 ↔ 금천구청,5.0,0.0,5.0,5.0,60
덕정 ↔ 지행,4.5,0.03,4.0,4.5,345
덕계 ↔ 양주,4.5,0.0,4.5,4.5,345
두정 ↔ 직산,4.5,0.03,4.0,4.5,360
신창 ↔ 온양온천,4.5,0.0,4.5,4.5,95
두정 ↔ 천안,4.0,0.06,4.0,5.0,279
배방 ↔ 온양온천,4.0,0.0,4.0,4.0,196
병점 ↔ 세류,4.0,0.03,3.5,4.0,617
서정리 ↔ 평택지제,4.0,0.03,3.5,4.0,360
성환 ↔ 직산,4.0,0.03,4.0,4.5,360
평택 ↔ 평택지제,4.0,0.04,3.5,4.5,360
가산디지털단지 ↔ 구로,4.0,0.0,4.0,4.0,727
전곡 ↔ 청산,3.75,0.75,3.0,4.5,118
오산 ↔ 오산대,3.5,0.04,3.0,3.5,360
동인천 ↔ 인천,3.5,0.0,3.5,3.5,325
동두천 ↔ 소요산,3.39,0.21,3.0,3.5,173
배방 ↔ 탕정,3.0,0.0,3.0,3.0,196
덕계 ↔ 덕정,3.0,0.05,3.0,3.5,345
군포 ↔ 금정,3.0,0.04,2.5,3.5,644
오산 ↔ 진위,3.0,0.05,3.0,3.5,360
성균관대 ↔ 의왕,3.0,0.0,3.0,3.0,642
세류 ↔ 수원,3.0,0.0,3.0,3.0,644
송탄 ↔ 진위,3.0,0.04,3.0,3.5,360
노량진 ↔ 용산,3.0,0.0,3.0,3.0,1250
남영 ↔ 서울역,2.5,0.0,2.5,2.5,1247
수원 ↔ 화서,2.5,0.0,2.5,2.5,644
아산 ↔ 탕정,2.5,0.0,2.5,2.5,196
세마 ↔ 오산대,2.5,0.03,2.5,3.0,360
금천구청 ↔ 석수,2.5,0.0,2.5,2.5,644
도봉산 ↔ 망월사,2.5,0.0,2.5,2.5,688
관악 ↔ 안양,2.5,0.0,2.5,2.5,644
명학 ↔ 안양,2.5,0.0,2.5,2.5,644
성균관대 ↔ 화서,2.5,0.0,2.5,2.5,644
의정부 ↔ 회룡,2.5,0.0,2.5,2.5,616
오류동 ↔ 온수,2.5,0.0,2.5,2.5,658
병점 ↔ 세마,2.5,0.0,2.5,2.5,330
서정리 ↔ 송탄,2.5,0.03,2.0,2.5,360
청량리 ↔ 회기,2.5,0.0,2.5,2.5,1084
