역사명,방향,DAY,END,SAT,차이(주중-주말),평균
청산,UP,54.85,60.0,60.0,-5.149999999999999,57.42
전곡,UP,54.85,60.0,60.0,-5.149999999999999,57.42
연천,UP,54.85,60.0,60.0,-5.149999999999999,57.42
소요산,DOWN,54.05,60.17,60.17,-6.1200000000000045,57.11
전곡,DOWN,54.05,60.17,60.17,-6.1200000000000045,57.11
청산,DOWN,54.05,60.17,60.17,-6.1200000000000045,57.11
광명,DOWN,53.68,53.68,53.68,0.0,53.68
신창,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
봉명,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
배방,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
아산,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
온양온천,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
탕정,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
쌍용,DOWN,34.81,36.47,36.47,-1.6599999999999966,35.64
쌍용,UP,35.16,33.09,33.09,2.069999999999993,34.12
봉명,UP,35.16,33.09,33.09,2.069999999999993,34.12
아산,UP,35.16,33.09,33.09,2.069999999999993,34.12
천안,UP,35.16,33.09,33.09,2.069999999999993,34.12
배방,UP,35.16,33.09,33.09,2.069999999999993,34.12
탕정,UP,35.16,33.09,33.09,2.069999999999993,34.12
온양온천,UP,35.16,33.09,33.09,2.069999999999993,34.12
동두천,DOWN,30.09,30.12,30.12,-0.030000000000001137,30.1
소요산,UP,30.26,29.88,29.88,0.38000000000000256,30.07
서동탄,DOWN,22.0,25.44,25.44,-3.4400000000000013,23.72
지행,DOWN,18.87,20.26,20.26,-1.3900000000000006,19.57
보산,DOWN,18.87,20.26,20.26,-1.3900000000000006,19.57
양주,DOWN,18.87,20.26,20.26,-1.3900000000000006,19.57
덕계,DOWN,18.87,20.26,20.26,-1.3900000000000006,19.57
덕정,DOWN,18.87,20.26,20.26,-1.3900000000000006,19.57
동두천중앙,DOWN,18.87,20.26,20.26,-1.3900000000000006,19.57
덕정,UP,18.67,20.11,20.11,-1.4399999999999977,19.39
지행,UP,18.67,20.11,20.11,-1.4399999999999977,19.39
동두천,UP,18.67,20.11,20.11,-1.4399999999999977,19.39
동두천중앙,UP,18.67,20.11,20.11,-1.4399999999999977,19.39
