역사명,역사코드,방향,주중주말,평균_분,중앙값_분,표준편차,최소_분,최대_분,측정횟수
구로,1701,UP,DAY,4.86,4.0,2.38,1.0,19.5,235
신도림,1007,UP,DAY,5.07,4.5,2.23,1.0,12.5,225
영등포,1006,UP,DAY,5.07,4.5,2.23,1.0,12.5,225
신도림,1007,DOWN,DAY,5.26,4.5,2.56,1.0,21.0,221
구로,1701,DOWN,DAY,5.26,4.5,2.56,1.0,21.0,221
동대문,155,UP,DAY,5.43,4.5,2.6,2.5,26.0,215
동묘앞,159,UP,DAY,5.43,4.5,2.6,2.5,26.0,215
시청,151,UP,DAY,5.43,4.5,2.6,2.5,26.0,215
종로3가,153,UP,DAY,5.43,4.5,2.6,2.5,26.0,215
종각,152,UP,DAY,5.43,4.5,2.6,2.5,26.0,215
종로5가,154,UP,DAY,5.43,4.5,2.6,2.5,26.0,215
신길,1032,UP,DAY,5.49,5.0,2.29,2.5,14.0,208
서울역,150,UP,DAY,5.49,5.0,2.29,2.5,14.0,208
대방,1005,UP,DAY,5.49,5.0,2.29,2.5,14.0,208
노량진,1004,UP,DAY,5.49,5.0,2.29,2.5,14.0,208
남영,1002,UP,DAY,5.49,5.0,2.29,2.5,14.0,208
용산,1003,UP,DAY,5.49,5.0,2.29,2.5,14.0,208
대방,1005,DOWN,DAY,5.55,4.5,2.3,3.0,16.0,204
용산,1003,DOWN,DAY,5.55,4.5,2.3,3.0,16.0,204
영등포,1006,DOWN,DAY,5.55,4.5,2.3,3.0,16.0,204
신길,1032,DOWN,DAY,5.55,4.5,2.3,3.0,16.0,204
남영,1002,DOWN,DAY,5.55,4.5,2.3,3.0,16.0,204
노량진,1004,DOWN,DAY,5.55,4.5,2.3,3.0,16.0,204
신설동,156,UP,DAY,5.56,5.0,2.55,2.5,19.5,203
제기동,157,UP,DAY,5.56,5.0,2.55,2.5,19.5,203
청량리,158,UP,DAY,5.56,5.0,2.55,2.5,19.5,203
동대문,155,DOWN,DAY,5.65,4.5,2.95,3.0,30.5,207
서울역,150,DOWN,DAY,5.65,4.5,2.95,3.0,30.5,207
종각,152,DOWN,DAY,5.65,4.5,2.95,3.0,30.5,207
종로3가,153,DOWN,DAY,5.65,4.5,2.95,3.0,30.5,207
종로5가,154,DOWN,DAY,5.65,4.5,2.95,3.0,30.5,207
시청,151,DOWN,DAY,5.65,4.5,2.95,3.0,30.5,207
신설동,156,DOWN,DAY,5.88,5.0,3.23,3.0,30.5,199
동묘앞,159,DOWN,DAY,5.88,5.0,3.23,3.0,30.5,199
제기동,157,DOWN,DAY,5.88,5.0,3.23,3.0,30.5,199
외대앞,1016,UP,DAY,6.22,5.0,2.97,3.0,19.5,180
