역사명,역사코드,방향,주중주말,평균_분,중앙값_분,표준편차,최소_분,최대_분,측정횟수
청산,1917,DOWN,SAT,60.17,61.0,4.15,53.0,67.0,18
전곡,1918,DOWN,SAT,60.17,61.0,4.15,53.0,67.0,18
소요산,1916,DOWN,SAT,60.17,61.0,4.15,53.0,67.0,18
연천,1919,UP,SAT,60.0,58.5,5.6,53.0,71.5,18
전곡,1918,UP,SAT,60.0,58.5,5.6,53.0,71.5,18
청산,1917,UP,SAT,60.0,58.5,5.6,53.0,71.5,18
광명,1750,DOWN,SAT,53.68,51.0,11.2,39.5,76.0,19
신창,1408,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
봉명,1401,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
배방,1405,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
아산,1403,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
온양온천,1407,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
탕정,1404,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
쌍용,1402,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
쌍용,1402,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
봉명,1401,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
아산,1403,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
천안,1728,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
배방,1405,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
탕정,1404,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
온양온천,1407,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
동두천,1915,DOWN,SAT,30.12,30.5,14.32,9.5,54.5,37
소요산,1916,UP,SAT,29.88,29.0,11.72,9.5,52.5,37
서동탄,1749,DOWN,SAT,25.44,24.25,10.7,9.0,51.0,42
지행,1912,DOWN,SAT,20.26,19.5,8.16,5.0,40.5,55
보산,1914,DOWN,SAT,20.26,19.5,8.16,5.0,40.5,55
양주,1909,DOWN,SAT,20.26,19.5,8.16,5.0,40.5,55
덕계,1910,DOWN,SAT,20.26,19.5,8.16,5.0,40.5,55
덕정,1911,DOWN,SAT,20.26,19.5,8.16,5.0,40.5,55
동두천중앙,1913,DOWN,SAT,20.26,19.5,8.16,5.0,40.5,55
덕정,1911,UP,SAT,20.11,20.0,6.58,7.5,37.0,55
지행,1912,UP,SAT,20.11,20.0,6.58,7.5,37.0,55
동두천,1915,UP,SAT,20.11,20.0,6.58,7.5,37.0,55
동두천중앙,1913,UP,SAT,20.11,20.0,6.58,7.5,37.0,55
덕계,1910,UP,SAT,20.11,20.0,6.58,7.5,37.0,55
보산,1914,UP,SAT,20.11,20.0,6.58,7.5,37.0,55
두정,1727,DOWN,SAT,19.16,19.25,6.74,5.0,36.0,58
송탄,1721,DOWN,SAT,19.16,19.25,6.72,5.0,36.0,58
오산대,1718,DOWN,SAT,19.16,19.25,6.63,5.0,36.0,58
세마,1717,DOWN,SAT,19.16,19.25,6.63,5.0,36.0,58
성환,1725,DOWN,SAT,19.16,19.25,6.71,5.0,36.0,58
서정리,1722,DOWN,SAT,19.16,19.5,6.73,5.0,36.0,58
직산,1726,DOWN,SAT,19.16,19.25,6.73,5.0,36.0,58
오산,1719,DOWN,SAT,19.16,19.25,6.63,5.0,36.0,58
평택지제,1723,DOWN,SAT,19.16,19.25,6.71,5.0,36.0,58
천안,1728,DOWN,SAT,19.16,19.25,6.76,5.0,36.0,58
진위,1720,DOWN,SAT,19.16,19.25,6.72,5.0,36.0,58
평택,1724,DOWN,SAT,19.16,19.25,6.71,5.0,36.0,58
서정리,1722,UP,SAT,19.13,20.0,6.09,7.5,30.0,58
송탄,1721,UP,SAT,19.13,20.0,6.04,7.5,30.0,58
세마,1717,UP,SAT,19.13,19.5,5.88,7.5,30.0,58
성환,1725,UP,SAT,19.13,20.0,6.13,7.5,30.0,58
두정,1727,UP,SAT,19.13,20.0,6.13,7.5,30.0,58
오산,1719,UP,SAT,19.13,20.0,6.01,7.5,30.0,58
오산대,1718,UP,SAT,19.13,19.5,5.88,7.5,30.0,58
진위,1720,UP,SAT,19.13,20.0,6.02,7.5,30.0,58
직산,1726,UP,SAT,19.13,20.0,6.13,7.5,30.0,58
평택지제,1723,UP,SAT,19.13,20.0,6.1,7.5,30.0,58
평택,1724,UP,SAT,19.13,20.0,6.12,7.5,30.0,58
가능,1907,DOWN,SAT,13.09,12.0,5.22,5.0,26.0,87
의정부,1906,DOWN,SAT,13.09,12.0,5.22,5.0,26.0,87
녹양,1908,DOWN,SAT,13.09,12.0,5.22,5.0,26.0,87
양주,1909,UP,SAT,12.99,11.5,5.2,4.0,26.0,87
녹양,1908,UP,SAT,12.99,11.5,5.2,4.0,26.0,87
가능,1907,UP,SAT,12.99,11.5,5.2,4.0,26.0,87
병점,1716,UP,SAT,11.1,10.5,4.58,1.0,24.5,101
의왕,1710,DOWN,SAT,10.77,10.0,3.7,4.0,23.0,104
군포,1709,DOWN,SAT,10.67,10.0,3.58,4.0,21.0,105
당정,1729,DOWN,SAT,10.67,10.0,3.48,4.0,21.0,105
금정,1708,DOWN,SAT,10.67,10.0,3.61,4.0,21.0,105
명학,1707,DOWN,SAT,10.67,10.0,3.62,4.0,21.0,105
세류,1715,DOWN,SAT,10.67,10.0,3.47,4.0,21.0,105
관악,1705,DOWN,SAT,10.67,10.0,3.62,4.0,21.0,105
석수,1704,DOWN,SAT,10.67,10.0,3.62,4.0,21.0,105
성균관대,1711,DOWN,SAT,10.67,10.0,3.48,4.0,21.0,105
병점,1716,DOWN,SAT,10.67,10.0,3.47,4.0,21.0,105
화서,1712,DOWN,SAT,10.67,10.0,3.48,4.0,21.0,105
안양,1706,DOWN,SAT,10.67,10.0,3.62,4.0,21.0,105
수원,1713,DOWN,SAT,10.67,10.0,3.48,4.0,21.0,105
군포,1709,UP,SAT,10.65,10.5,3.58,4.0,21.0,105
안양,1706,UP,SAT,10.65,10.5,3.53,4.0,21.0,105
수원,1713,UP,SAT,10.65,10.0,3.68,4.0,21.0,105
화서,1712,UP,SAT,10.65,10.0,3.6,4.0,21.0,105
당정,1729,UP,SAT,10.65,10.5,3.58,4.0,21.0,105
명학,1707,UP,SAT,10.65,10.5,3.53,4.0,21.0,105
금정,1708,UP,SAT,10.65,10.5,3.53,4.0,21.0,105
관악,1705,UP,SAT,10.65,10.5,3.54,4.0,21.0,105
의왕,1710,UP,SAT,10.65,10.0,3.59,4.0,21.0,105
석수,1704,UP,SAT,10.65,10.5,3.54,4.0,21.0,105
세류,1715,UP,SAT,10.65,10.0,3.71,4.0,21.0,105
성균관대,1711,UP,SAT,10.65,10.0,3.59,4.0,21.0,105
창동,1022,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
회룡,1905,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
월계,1020,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
망월사,1904,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
도봉,1902,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
녹천,1021,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
방학,1901,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
도봉산,1903,DOWN,SAT,10.48,9.5,3.44,4.0,24.0,110
광운대,1019,DOWN,SAT,10.48,10.0,3.47,4.0,24.0,110
온수,1821,UP,SAT,10.45,10.0,2.59,5.0,19.0,108
소사,1814,UP,SAT,10.45,10.0,2.59,5.0,19.0,108
중동,1822,UP,SAT,10.45,10.0,2.59,5.0,19.0,108
부천,1804,UP,SAT,10.45,10.0,2.59,5.0,19.0,108
