역사명,역사코드,방향,주중주말,평균_분,중앙값_분,표준편차,최소_분,최대_분,측정횟수
청산,1917,DOWN,SAT,60.17,61.0,4.15,53.0,67.0,18
청산,1917,DOWN,END,60.17,61.0,4.15,53.0,67.0,18
전곡,1918,DOWN,END,60.17,61.0,4.15,53.0,67.0,18
전곡,1918,DOWN,SAT,60.17,61.0,4.15,53.0,67.0,18
소요산,1916,DOWN,END,60.17,61.0,4.15,53.0,67.0,18
소요산,1916,DOWN,SAT,60.17,61.0,4.15,53.0,67.0,18
전곡,1918,UP,END,60.0,58.5,5.6,53.0,71.5,18
전곡,1918,UP,SAT,60.0,58.5,5.6,53.0,71.5,18
연천,1919,UP,END,60.0,58.5,5.6,53.0,71.5,18
연천,1919,UP,SAT,60.0,58.5,5.6,53.0,71.5,18
청산,1917,UP,SAT,60.0,58.5,5.6,53.0,71.5,18
청산,1917,UP,END,60.0,58.5,5.6,53.0,71.5,18
청산,1917,UP,DAY,54.85,59.0,13.71,28.0,73.0,20
전곡,1918,UP,DAY,54.85,59.0,13.77,24.0,73.0,20
연천,1919,UP,DAY,54.85,59.0,12.48,27.5,70.0,20
전곡,1918,DOWN,DAY,54.05,56.0,10.74,30.0,67.0,20
청산,1917,DOWN,DAY,54.05,56.0,10.74,30.0,67.0,20
소요산,1916,DOWN,DAY,54.05,56.0,10.74,30.0,67.0,20
광명,1750,DOWN,END,53.68,51.0,11.2,39.5,76.0,19
광명,1750,DOWN,DAY,53.68,51.0,11.2,39.5,76.0,19
광명,1750,DOWN,SAT,53.68,51.0,11.2,39.5,76.0,19
탕정,1404,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
온양온천,1407,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
탕정,1404,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
쌍용,1402,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
쌍용,1402,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
아산,1403,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
신창,1408,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
아산,1403,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
온양온천,1407,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
배방,1405,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
신창,1408,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
봉명,1401,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
봉명,1401,DOWN,SAT,36.47,33.0,18.08,14.0,85.0,29
배방,1405,DOWN,END,36.47,33.0,18.08,14.0,85.0,29
아산,1403,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
배방,1405,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
쌍용,1402,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
온양온천,1407,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
탕정,1404,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
천안,1728,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
봉명,1401,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
신창,1408,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
온양온천,1407,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
쌍용,1402,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
배방,1405,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
봉명,1401,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
아산,1403,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
탕정,1404,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
아산,1403,UP,END,33.09,31.0,12.22,10.0,65.0,34
온양온천,1407,UP,END,33.09,31.0,12.22,10.0,65.0,34
봉명,1401,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
쌍용,1402,UP,END,33.09,31.0,12.22,10.0,65.0,34
쌍용,1402,UP,SAT,33.09,31.0,12.22,10.0,65.0,34
