구간,방향,평균소요시간_분,평균배차간격_분,복합지표,측정횟수
전곡 → 연천,UP,7.5,55.9,419.25,19
청산 → 소요산,DOWN,5.5,55.714285714285715,306.42857142857144,19
전곡 → 청산,DOWN,4.5,55.714285714285715,250.71428571428572,19
소요산 → 동두천,DOWN,3.5,55.714285714285715,195.0,19
청산 → 전곡,UP,3.0,55.9,167.7,19
온양온천 → 신창,DOWN,4.5,31.53846153846154,141.92307692307693,30
소요산 → 청산,UP,4.5,29.87837837837838,134.4527027027027,19
배방 → 온양온천,DOWN,4.0,31.53846153846154,126.15384615384616,30
온양온천 → 배방,UP,4.0,31.15625,124.625,35
천안 → 두정,UP,4.0,31.15625,124.625,34
평택 → 성환,DOWN,6.5,19.155172413793103,124.50862068965517,59
성환 → 평택,UP,6.5,19.129310344827587,124.34051724137932,59
탕정 → 배방,DOWN,3.0,31.53846153846154,94.61538461538461,30
배방 → 탕정,UP,3.0,31.15625,93.46875,35
덕계 → 양주,DOWN,4.5,20.263636363636362,91.18636363636362,56
지행 → 덕정,DOWN,4.5,20.263636363636362,91.18636363636362,56
덕정 → 지행,UP,4.5,20.10909090909091,90.4909090909091,56
직산 → 두정,DOWN,4.5,19.155172413793103,86.19827586206897,59
두정 → 직산,UP,4.5,19.129310344827587,86.08189655172414,59
아산 → 탕정,DOWN,2.5,31.53846153846154,78.84615384615385,30
탕정 → 아산,UP,2.5,31.15625,77.890625,35
성환 → 직산,DOWN,4.0,19.155172413793103,76.62068965517241,59
평택지제 → 평택,DOWN,4.0,19.155172413793103,76.62068965517241,59
두정 → 천안,DOWN,4.0,19.155172413793103,76.62068965517241,59
서정리 → 평택지제,DOWN,4.0,19.155172413793103,76.62068965517241,59
평택 → 평택지제,UP,4.0,19.129310344827587,76.51724137931035,59
평택지제 → 서정리,UP,4.0,19.129310344827587,76.51724137931035,59
직산 → 성환,UP,4.0,19.129310344827587,76.51724137931035,59
오산대 → 오산,DOWN,3.5,19.155172413793103,67.04310344827586,59
오산 → 오산대,UP,3.5,19.129310344827587,66.95258620689656,59
동두천 → 소요산,UP,3.25,20.10909090909091,65.35454545454546,38
쌍용 → 아산,DOWN,2.0,31.53846153846154,63.07692307692308,30
봉명 → 쌍용,DOWN,2.0,31.53846153846154,63.07692307692308,30
봉명 → 천안,UP,2.0,31.15625,62.3125,35
쌍용 → 봉명,UP,2.0,31.15625,62.3125,35
아산 → 쌍용,UP,2.0,31.15625,62.3125,35
덕정 → 덕계,DOWN,3.0,20.263636363636362,60.79090909090908,56
덕계 → 덕정,UP,3.0,20.10909090909091,60.32727272727273,56
동두천 → 보산,DOWN,2.0,30.12162162162162,60.24324324324324,38
당정 → 성균관대,DOWN,5.5,10.67142857142857,58.692857142857136,1
양주 → 덕계,UP,4.5,12.988505747126437,58.44827586206897,56
송탄 → 진위,UP,3.01,19.129310344827587,57.579224137931035,59
진위 → 오산,UP,3.01,19.129310344827587,57.579224137931035,59
진위 → 송탄,DOWN,3.0,19.155172413793103,57.46551724137931,59
오산 → 진위,DOWN,3.0,19.155172413793103,57.46551724137931,59
병점 → 서동탄,DOWN,5.0,10.67142857142857,53.357142857142854,43
세마 → 오산대,DOWN,2.5,19.155172413793103,47.88793103448276,59
송탄 → 서정리,DOWN,2.5,19.155172413793103,47.88793103448276,59
서정리 → 송탄,UP,2.5,19.129310344827587,47.82327586206897,59
오산대 → 세마,UP,2.5,19.129310344827587,47.82327586206897,59
