구간,방향,평균소요시간_분,평균배차간격_분,복합지표,측정횟수
전곡 → 연천,UP,7.5,48.96153846153846,367.21153846153845,21
청산 → 소요산,DOWN,5.5,49.0,269.5,21
전곡 → 청산,DOWN,4.5,49.0,220.5,21
소요산 → 동두천,DOWN,3.5,49.0,171.5,21
청산 → 전곡,UP,3.0,48.92307692307692,146.76923076923077,21
소요산 → 청산,UP,4.5,30.256756756756758,136.15540540540542,21
온양온천 → 신창,DOWN,4.5,29.375,132.1875,33
천안 → 두정,UP,4.03,31.586206896551722,127.29241379310345,32
온양온천 → 배방,UP,4.0,31.586206896551722,126.34482758620689,33
평택 → 성환,DOWN,6.49,18.508333333333333,120.11908333333334,61
배방 → 온양온천,DOWN,4.0,29.375,117.5,33
성환 → 평택,UP,6.49,18.056451612903224,117.18637096774192,63
배방 → 탕정,UP,3.0,31.586206896551722,94.75862068965517,33
탕정 → 배방,DOWN,3.0,29.375,88.125,33
덕계 → 양주,DOWN,4.5,18.872881355932204,84.92796610169492,60
지행 → 덕정,DOWN,4.49,18.872881355932204,84.7392372881356,60
덕정 → 지행,UP,4.5,18.666666666666668,84.0,61
직산 → 두정,DOWN,4.5,18.508333333333333,83.2875,61
두정 → 직산,UP,4.49,18.056451612903224,81.07346774193547,63
탕정 → 아산,UP,2.5,31.586206896551722,78.9655172413793,33
성환 → 직산,DOWN,4.0,18.508333333333333,74.03333333333333,61
두정 → 천안,DOWN,4.0,18.508333333333333,74.03333333333333,61
서정리 → 평택지제,DOWN,3.99,18.508333333333333,73.84825000000001,61
평택지제 → 평택,DOWN,3.99,18.508333333333333,73.84825000000001,61
아산 → 탕정,DOWN,2.5,29.375,73.4375,33
평택 → 평택지제,UP,4.01,18.056451612903224,72.40637096774192,63
직산 → 성환,UP,4.01,18.056451612903224,72.40637096774192,63
평택지제 → 서정리,UP,4.0,18.056451612903224,72.2258064516129,63
동두천 → 소요산,UP,3.49,18.666666666666668,65.14666666666668,38
오산대 → 오산,DOWN,3.49,18.508333333333333,64.59408333333333,61
봉명 → 천안,UP,2.0,31.586206896551722,63.172413793103445,33
쌍용 → 봉명,UP,2.0,31.586206896551722,63.172413793103445,33
아산 → 쌍용,UP,2.0,31.586206896551722,63.172413793103445,33
오산 → 오산대,UP,3.49,18.056451612903224,63.01701612903226,63
동두천 → 보산,DOWN,2.0,30.094594594594593,60.189189189189186,38
쌍용 → 아산,DOWN,2.0,29.375,58.75,33
봉명 → 쌍용,DOWN,2.0,29.375,58.75,33
덕정 → 덕계,DOWN,3.01,18.872881355932204,56.80737288135593,60
덕계 → 덕정,UP,3.02,18.666666666666668,56.373333333333335,61
오산 → 진위,DOWN,3.0,18.508333333333333,55.525,61
진위 → 송탄,DOWN,3.0,18.508333333333333,55.525,61
진위 → 오산,UP,3.01,18.056451612903224,54.349919354838704,63
송탄 → 진위,UP,3.0,18.056451612903224,54.16935483870967,63
양주 → 덕계,UP,4.5,11.863157894736842,53.38421052631579,61
병점 → 서동탄,DOWN,5.0,10.36574074074074,51.8287037037037,50
세마 → 오산대,DOWN,2.5,18.508333333333333,46.27083333333333,61
송탄 → 서정리,DOWN,2.5,18.508333333333333,46.27083333333333,61
오산대 → 세마,UP,2.51,18.056451612903224,45.32169354838709,63
세마 → 병점,UP,2.5,18.056451612903224,45.141129032258064,63
서정리 → 송탄,UP,2.49,18.056451612903224,44.96056451612903,63
