구간,방향,복합지표_DAY,복합지표_END,복합지표_SAT,평균배차간격_분_DAY,평균배차간격_분_END,평균배차간격_분_SAT,평균소요시간_분_DAY,평균소요시간_분_END,평균소요시간_분_SAT,복합지표_차이(주중-주말)
천안 → 두정,UP,127.29,124.62,124.62,31.59,31.16,31.16,4.03,4.0,4.0,2.6700000000000017
온양온천 → 배방,UP,126.34,124.62,124.62,31.59,31.16,31.16,4.0,4.0,4.0,1.7199999999999989
소요산 → 청산,UP,136.16,134.45,134.45,30.26,29.88,29.88,4.5,4.5,4.5,1.710000000000008
배방 → 탕정,UP,94.76,93.47,93.47,31.59,31.16,31.16,3.0,3.0,3.0,1.2900000000000063
탕정 → 아산,UP,78.97,77.89,77.89,31.59,31.16,31.16,2.5,2.5,2.5,1.0799999999999983
동인천 → 인천,DOWN,37.43,36.52,36.52,10.69,10.44,10.44,3.5,3.5,3.5,0.9099999999999966
봉명 → 천안,UP,63.17,62.31,62.31,31.59,31.16,31.16,2.0,2.0,2.0,0.8599999999999994
아산 → 쌍용,UP,63.17,62.31,62.31,31.59,31.16,31.16,2.0,2.0,2.0,0.8599999999999994
쌍용 → 봉명,UP,63.17,62.31,62.31,31.59,31.16,31.16,2.0,2.0,2.0,0.8599999999999994
서울역 → 남영,DOWN,14.14,13.43,13.43,5.65,5.37,5.37,2.5,2.5,2.5,0.7100000000000009
종각 → 시청,DOWN,11.31,10.74,10.74,5.65,5.37,5.37,2.0,2.0,2.0,0.5700000000000003
시청 → 서울역,DOWN,11.31,10.74,10.74,5.65,5.37,5.37,2.0,2.0,2.0,0.5700000000000003
백운 → 동암,DOWN,21.39,20.87,20.87,10.69,10.44,10.44,2.0,2.0,2.0,0.5199999999999996
동암 → 간석,DOWN,21.39,20.87,20.87,10.69,10.44,10.44,2.0,2.0,2.0,0.5199999999999996
회기 → 청량리,DOWN,16.01,15.51,15.51,6.4,6.21,6.21,2.5,2.5,2.5,0.5000000000000018
구로 → 가산디지털단지,DOWN,21.43,20.98,20.98,5.36,5.24,5.24,4.0,4.0,4.0,0.4499999999999993
종로5가 → 종로3가,DOWN,8.48,8.06,8.06,5.65,5.37,5.37,1.5,1.5,1.5,0.41999999999999993
동대문 → 종로5가,DOWN,8.48,8.06,8.06,5.65,5.37,5.37,1.5,1.5,1.5,0.41999999999999993
종로3가 → 종각,DOWN,8.48,8.06,8.06,5.65,5.37,5.37,1.5,1.5,1.5,0.41999999999999993
석계 → 신이문,DOWN,12.81,12.41,12.41,6.4,6.21,6.21,2.0,2.0,2.0,0.40000000000000036
제기동 → 신설동,DOWN,8.82,8.42,8.42,5.88,5.61,5.61,1.5,1.5,1.5,0.40000000000000036
신설동 → 동묘앞,DOWN,8.82,8.42,8.42,5.88,5.61,5.61,1.5,1.5,1.5,0.40000000000000036
동묘앞 → 동대문,DOWN,8.82,8.42,8.42,5.88,5.61,5.61,1.5,1.5,1.5,0.40000000000000036
도원 → 동인천,DOWN,16.04,15.65,15.65,10.69,10.44,10.44,1.5,1.5,1.5,0.3899999999999988
간석 → 주안,DOWN,16.04,15.65,15.65,10.69,10.44,10.44,1.5,1.5,1.5,0.3899999999999988
제물포 → 도원,DOWN,16.04,15.65,15.65,10.69,10.44,10.44,1.5,1.5,1.5,0.3899999999999988
주안 → 도화,DOWN,16.04,15.65,15.65,10.69,10.44,10.44,1.5,1.5,1.5,0.3899999999999988
도화 → 제물포,DOWN,16.04,15.65,15.65,10.69,10.44,10.44,1.5,1.5,1.5,0.3899999999999988
