호선,구간,방향,평균소요시간_분,평균배차간격_분,복합지표,소요시간_점수,배차간격_점수,종합점수,개선방안
5,공덕 → 신정네거리,DOWN,58.17,5.620898100172711,326.96764248704665,100.0,9.82,72.95,선로/신호 개선 우선
4,별내별가람 → 오남,UP,6.5,14.606666666666667,94.94333333333334,10.91,100.0,44.73,배차 증편 우선
4,오남 → 별내별가람,DOWN,6.5,14.605263157894736,94.93421052631578,10.91,99.99,44.73,배차 증편 우선
4,별내별가람 → 불암산,DOWN,5.0,14.5,72.5,8.33,98.93,40.88,배차 증편 우선
4,오남 → 진접,UP,2.5,14.606666666666667,36.516666666666666,4.02,100.0,35.48,배차 증편 우선
4,불암산 → 상계,DOWN,2.5,14.5,36.25,4.02,98.93,35.12,배차 증편 우선
5,상일동 → 하남풍산,DOWN,6.17,10.906462585034015,67.29287414965988,10.34,62.86,30.02,배차 증편 우선
5,하남풍산 → 미사,UP,2.5,12.247191011235955,30.617977528089888,4.02,76.32,27.65,배차 증편 우선
5,강일 → 상일동,UP,1.83,12.247191011235955,22.4123595505618,2.86,76.32,26.29,배차 증편 우선
5,미사 → 강일,UP,1.83,12.247191011235955,22.4123595505618,2.86,76.32,26.29,배차 증편 우선
5,하남시청 → 하남풍산,UP,1.83,12.247191011235955,22.4123595505618,2.86,76.32,26.29,배차 증편 우선
5,상일동 → 고덕,UP,1.67,12.247191011235955,20.452808988764044,2.59,76.32,25.97,배차 증편 우선
5,미사 → 하남풍산,DOWN,2.5,11.617753623188408,29.04438405797102,4.02,70.0,25.56,배차 증편 우선
5,하남시청 → 하남검단산,DOWN,2.5,11.49283154121864,28.732078853046602,4.02,68.75,25.14,배차 증편 우선
4,산본 → 상록수,DOWN,8.0,8.732,69.856,13.5,41.04,24.73,배차 증편 우선
5,강일 → 미사,DOWN,1.83,11.617753623188408,21.260489130434788,2.86,70.0,24.25,배차 증편 우선
5,하남풍산 → 하남시청,DOWN,1.83,11.49283154121864,21.031881720430114,2.86,68.75,23.85,배차 증편 우선
5,둔촌동 → 강동,UP,1.83,11.442105263157895,20.93905263157895,2.86,68.24,23.69,배차 증편 우선
5,올림픽공원 → 둔촌동,UP,1.67,11.442105263157895,19.108315789473686,2.59,68.24,23.38,배차 증편 우선
2,양천구청 → 신정네거리,UP,3.0,10.542857142857143,31.628571428571426,4.88,59.21,22.9,배차 증편 우선
2,신정네거리 → 양천구청,DOWN,3.0,10.533333333333333,31.6,4.88,59.12,22.87,배차 증편 우선
5,거여 → 개롱,UP,1.33,11.46875,15.2534375,2.0,68.51,22.81,배차 증편 우선
5,방이 → 올림픽공원,UP,1.33,11.46875,15.2534375,2.0,68.51,22.81,배차 증편 우선
5,오금 → 방이,UP,1.33,11.46875,15.2534375,2.0,68.51,22.81,배차 증편 우선
5,개롱 → 오금,UP,1.17,11.46875,13.4184375,1.72,68.51,22.5,배차 증편 우선
2,신정네거리 → 까치산,UP,2.5,10.542857142857143,26.357142857142858,4.02,59.21,21.99,배차 증편 우선
2,도림천 → 양천구청,UP,2.5,10.533333333333333,26.333333333333332,4.02,59.12,21.96,배차 증편 우선
5,상일동 → 강일,DOWN,1.83,10.906462585034015,19.95882653061225,2.86,62.86,21.95,배차 증편 우선
2,양천구청 → 도림천,DOWN,2.5,10.5,26.25,4.02,58.78,21.85,배차 증편 우선
5,고덕 → 상일동,DOWN,1.67,10.962962962962964,18.30814814814815,2.59,63.43,21.84,배차 증편 우선
