호선,역사명,방향,주중주말,평균배차간격_분,최소배차간격_분,최대배차간격_분,표준편차,측정횟수
2,강남,IN,DAY,4.657446808510638,2.0,13.0,1.752500616439296,235
2,강남,IN,END,5.652849740932642,3.0,16.5,1.334129188214652,193
2,강남,IN,SAT,5.652849740932642,3.0,16.5,1.334129188214652,193
2,강남,OUT,DAY,4.710300429184549,2.0,16.5,1.6901021176171436,233
2,강남,OUT,END,5.558673469387755,2.5,16.5,1.3692132404995152,196
2,강남,OUT,SAT,5.558673469387755,2.5,16.5,1.3692132404995152,196
2,강변,IN,DAY,4.675965665236052,2.0,20.0,1.9759168623937355,233
2,강변,IN,END,5.668393782383419,2.5,19.5,1.5074074081441309,193
2,강변,IN,SAT,5.668393782383419,2.5,19.5,1.5074074081441309,193
2,강변,OUT,DAY,4.688034188034188,2.0,10.0,1.5262038739698514,234
2,강변,OUT,END,5.573979591836735,2.0,21.0,1.5411905087291302,196
2,강변,OUT,SAT,5.573979591836735,2.0,21.0,1.5411905087291302,196
2,건대입구,IN,DAY,4.675965665236052,2.0,20.0,1.9759168623937355,233
2,건대입구,IN,END,5.668393782383419,2.0,19.5,1.5151615736045467,193
2,건대입구,IN,SAT,5.668393782383419,2.0,19.5,1.5151615736045467,193
2,건대입구,OUT,DAY,4.688034188034188,2.0,10.0,1.5240933359477165,234
2,건대입구,OUT,END,5.571428571428571,2.0,21.0,1.5325527556067846,196
2,건대입구,OUT,SAT,5.571428571428571,2.0,21.0,1.5325527556067846,196
2,교대,IN,DAY,4.657446808510638,2.0,13.0,1.746393681061802,235
2,교대,IN,END,5.655440414507772,3.0,16.5,1.3284483186158054,193
2,교대,IN,SAT,5.655440414507772,3.0,16.5,1.3284483186158054,193
2,교대,OUT,DAY,4.710300429184549,2.0,16.5,1.6913768098213773,233
2,교대,OUT,END,5.561224489795919,2.0,16.5,1.372374521138078,196
2,교대,OUT,SAT,5.561224489795919,2.0,16.5,1.372374521138078,196
2,구로디지털단지,IN,DAY,4.648936170212766,2.0,11.0,1.723129772784704,235
2,구로디지털단지,IN,END,5.689119170984456,2.5,19.5,1.574284146609492,193
2,구로디지털단지,IN,SAT,5.689119170984456,2.5,19.5,1.574284146609492,193
2,구로디지털단지,OUT,DAY,4.766233766233766,2.0,20.5,1.9862315458705733,231
2,구로디지털단지,OUT,END,5.6020408163265305,2.0,18.5,1.7230848657961513,196
2,구로디지털단지,OUT,SAT,5.6020408163265305,2.0,18.5,1.7230848657961513,196
2,구의,IN,DAY,4.675965665236052,2.0,20.0,1.9759168623937355,233
2,구의,IN,END,5.668393782383419,2.0,19.5,1.5151615736045467,193
2,구의,IN,SAT,5.668393782383419,2.0,19.5,1.5151615736045467,193
2,구의,OUT,DAY,4.688034188034188,2.0,10.0,1.5262038739698514,234
2,구의,OUT,END,5.571428571428571,2.0,20.5,1.5157294934901469,196
2,구의,OUT,SAT,5.571428571428571,2.0,20.5,1.5157294934901469,196
2,까치산,UP,DAY,10.542857142857143,8.0,17.0,1.7098615071479832,105
2,까치산,UP,END,10.548076923076923,8.0,16.0,1.7453394678695207,104
2,까치산,UP,SAT,10.59047619047619,8.0,16.0,1.7904406317098747,105
2,낙성대,IN,DAY,4.684322033898305,2.0,13.0,1.795659058201104,236
2,낙성대,IN,END,5.652849740932642,3.0,16.0,1.3154548734865898,193
2,낙성대,IN,SAT,5.652849740932642,3.0,16.0,1.3154548734865898,193
2,낙성대,OUT,DAY,4.700431034482759,2.0,16.5,1.6876556614389095,232
2,낙성대,OUT,END,5.5688775510204085,2.0,17.0,1.469030995922359,196
2,낙성대,OUT,SAT,5.5688775510204085,2.0,17.0,1.469030995922359,196
2,당산,IN,DAY,4.7296137339055795,2.0,15.0,1.843518077448532,233
