호선,출발역명,도착역명,방향,주중주말,평균소요시간_분,표준편차,최소_분,최대_분,측정횟수,구간,평균배차간격_분,복합지표
5,공덕,신정네거리,DOWN,DAY,58.17,,58.17,58.17,1,공덕 → 신정네거리,5.620898100172711,326.96764248704665
4,별내별가람,오남,UP,DAY,6.5,0.0,6.5,6.5,76,별내별가람 → 오남,14.606666666666667,94.94333333333334
4,오남,별내별가람,DOWN,DAY,6.5,0.0,6.5,6.5,76,오남 → 별내별가람,14.605263157894736,94.93421052631578
4,별내별가람,불암산,DOWN,DAY,5.0,0.0,5.0,5.0,76,별내별가람 → 불암산,14.5,72.5
4,산본,상록수,DOWN,DAY,8.0,0.0,8.0,8.0,3,산본 → 상록수,8.732,69.856
5,상일동,하남풍산,DOWN,DAY,6.17,,6.17,6.17,1,상일동 → 하남풍산,10.906462585034015,67.29287414965988
4,오남,진접,UP,DAY,2.5,0.0,2.5,2.5,75,오남 → 진접,14.606666666666667,36.516666666666666
4,불암산,상계,DOWN,DAY,2.5,0.0,2.5,2.5,76,불암산 → 상계,14.5,36.25
4,산본,금정,UP,DAY,4.01,0.06,4.0,4.5,125,산본 → 금정,8.818548387096774,35.36237903225806
4,안산,정왕,DOWN,DAY,4.0,0.0,4.0,4.0,3,안산 → 정왕,8.678861788617887,34.71544715447155
4,금정,산본,DOWN,DAY,4.0,0.0,4.0,4.0,124,금정 → 산본,8.617886178861788,34.47154471544715
2,양천구청,신정네거리,UP,DAY,3.0,0.0,3.0,3.0,93,양천구청 → 신정네거리,10.542857142857143,31.628571428571426
2,신정네거리,양천구청,DOWN,DAY,3.0,0.0,3.0,3.0,105,신정네거리 → 양천구청,10.533333333333333,31.6
5,하남풍산,미사,UP,DAY,2.5,0.0,2.5,2.5,90,하남풍산 → 미사,12.247191011235955,30.617977528089888
2,용답,성수,UP,DAY,3.0,0.0,3.0,3.0,109,용답 → 성수,10.185185185185185,30.555555555555557
4,상록수,중앙,DOWN,DAY,3.5,0.0,3.5,3.5,3,상록수 → 중앙,8.673387096774194,30.35685483870968
5,미사,하남풍산,DOWN,DAY,2.5,0.02,2.5,2.67,93,미사 → 하남풍산,11.617753623188408,29.04438405797102
5,하남시청,하남검단산,DOWN,DAY,2.5,0.0,2.5,2.5,94,하남시청 → 하남검단산,11.49283154121864,28.732078853046602
4,상록수,반월,UP,DAY,3.01,0.08,3.0,3.5,126,상록수 → 반월,8.884,26.74084
4,반월,상록수,DOWN,DAY,3.0,0.0,3.0,3.0,122,반월 → 상록수,8.888429752066116,26.66528925619835
4,수리산,대야미,DOWN,DAY,3.0,0.0,3.0,3.0,122,수리산 → 대야미,8.888429752066116,26.66528925619835
4,금정,범계,UP,DAY,3.0,0.04,3.0,3.5,125,금정 → 범계,8.884,26.652
4,대야미,수리산,UP,DAY,3.0,0.0,3.0,3.0,122,대야미 → 수리산,8.884,26.652
4,인덕원,정부과천청사,UP,DAY,3.0,0.0,3.0,3.0,125,인덕원 → 정부과천청사,8.830645161290322,26.491935483870968
2,신정네거리,까치산,UP,DAY,2.5,0.0,2.5,2.5,90,신정네거리 → 까치산,10.542857142857143,26.357142857142858
2,도림천,양천구청,UP,DAY,2.5,0.0,2.5,2.5,94,도림천 → 양천구청,10.533333333333333,26.333333333333332
2,양천구청,도림천,DOWN,DAY,2.5,0.0,2.5,2.5,105,양천구청 → 도림천,10.5,26.25
