호선,시간,시간대_문자,역명,방향,혼잡도
2,5.5,5시30분,대림,내선,87.4
4,5.5,5시30분,성신여대입구,하선,69.7
5,5.5,5시30분,양평,하선,44.3
2,6.0,6시00분,사당,외선,60.5
4,6.0,6시00분,한성대입구,하선,47.4
5,6.0,6시00분,길동,상선,40.8
2,6.5,6시30분,낙성대,외선,65.0
4,6.5,6시30분,성신여대입구,하선,56.8
5,6.5,6시30분,길동,상선,71.8
2,7.0,7시00분,사당,외선,106.3
4,7.0,7시00분,성신여대입구,하선,88.8
5,7.0,7시00분,양평,하선,91.3
2,7.5,7시30분,사당,외선,124.2
4,7.5,7시30분,한성대입구,하선,119.8
5,7.5,7시30분,양평,하선,122.1
2,8.0,8시00분,사당,외선,131.1
4,8.0,8시00분,성신여대입구,하선,134.0
5,8.0,8시00분,신길,하선,129.8
2,8.5,8시30분,사당,외선,146.8
4,8.5,8시30분,동대문,하선,148.5
5,8.5,8시30분,길동,상선,107.4
2,9.0,9시00분,사당,외선,147.4
4,9.0,9시00분,남태령,상선,109.1
5,9.0,9시00분,길동,상선,113.9
2,9.5,9시30분,서초,외선,94.7
4,9.5,9시30분,동대문,하선,96.7
5,9.5,9시30분,길동,상선,78.3
2,10.0,10시00분,방배,외선,71.2
4,10.0,10시00분,남태령,상선,71.5
5,10.0,10시00분,길동,상선,70.4
2,10.5,10시30분,사당,외선,78.4
4,10.5,10시30분,남태령,상선,63.3
5,10.5,10시30분,길동,상선,64.4
2,11.0,11시00분,사당,외선,47.2
4,11.0,11시00분,혜화,하선,56.3
5,11.0,11시00분,길동,상선,58.3
2,11.5,11시30분,서초,외선,48.6
4,11.5,11시30분,동대문,하선,55.2
5,11.5,11시30분,길동,상선,52.1
2,12.0,12시00분,사당,외선,54.6
4,12.0,12시00분,혜화,하선,49.8
5,12.0,12시00분,길동,상선,59.1
2,12.5,12시30분,상왕십리,내선,49.1
4,12.5,12시30분,동대문,하선,56.3
5,12.5,12시30분,길동,상선,52.2
2,13.0,13시00분,동대문역사문화공원,내선,54.1
4,13.0,13시00분,남태령,상선,57.2
5,13.0,13시00분,길동,상선,52.9
2,13.5,13시30분,서초,외선,60.4
4,13.5,13시30분,동대문역사문화공원,상선,48.3
5,13.5,13시30분,길동,상선,47.0
2,14.0,14시00분,강남,내선,49.7
4,14.0,14시00분,동대문역사문화공원,상선,51.6
5,14.0,14시00분,길동,상선,44.1
2,14.5,14시30분,방배,내선,57.9
4,14.5,14시30분,동대문,하선,50.6
5,14.5,14시30분,길동,하선,51.2
2,15.0,15시00분,방배,내선,75.2
4,15.0,15시00분,남태령,하선,59.2
5,15.0,15시00분,길동,하선,52.4
2,15.5,15시30분,방배,내선,73.7
4,15.5,15시30분,동대문,상선,65.2
5,15.5,15시30분,길동,하선,62.6
2,16.0,16시00분,방배,내선,93.9
4,16.0,16시00분,동대문,상선,56.9
5,16.0,16시00분,길동,하선,72.7
2,16.5,16시30분,방배,내선,85.5
4,16.5,16시30분,동대문,상선,79.3
5,16.5,16시30분,길동,하선,83.8
2,17.0,17시00분,방배,내선,118.6
4,17.0,17시00분,동대문,상선,111.3
5,17.0,17시00분,길동,하선,99.4
2,17.5,17시30분,방배,내선,140.1
4,17.5,17시30분,동대문,상선,121.5
5,17.5,17시30분,길동,하선,128.0
2,18.0,18시00분,방배,내선,142.3
4,18.0,18시00분,동대문,상선,118.6
5,18.0,18시00분,길동,하선,125.9
2,18.5,18시30분,방배,내선,137.4
4,18.5,18시30분,동대문,상선,135.2
5,18.5,18시30분,길동,하선,115.1
2,19.0,19시00분,방배,내선,102.9
4,19.0,19시00분,동대문,상선,101.1
5,19.0,19시00분,길동,하선,77.1
2,19.5,19시30분,방배,내선,75.5
4,19.5,19시30분,혜화,상선,63.6
5,19.5,19시30분,길동,하선,86.8
2,20.0,20시00분,서초,내선,73.9
4,20.0,20시00분,동대문,상선,60.8
5,20.0,20시00분,길동,하선,80.0
2,20.5,20시30분,합정,외선,77.5
4,20.5,20시30분,남태령,하선,61.1
5,20.5,20시30분,길동,하선,71.8
2,21.0,21시00분,서초,내선,83.3
4,21.0,21시00분,혜화,상선,56.8
5,21.0,21시00분,길동,하선,70.5
2,21.5,21시30분,교대,내선,101.8
4,21.5,21시30분,동대문역사문화공원,상선,52.4
5,21.5,21시30분,길동,하선,68.4
2,22.0,22시00분,방배,내선,103.3
4,22.0,22시00분,혜화,상선,78.6
5,22.0,22시00분,길동,하선,74.9
2,22.5,22시30분,사당,내선,69.3
4,22.5,22시30분,동대문역사문화공원,상선,72.8
5,22.5,22시30분,길동,하선,58.1
2,23.0,23시00분,사당,내선,61.1
4,23.0,23시00분,혜화,상선,57.5
5,23.0,23시00분,길동,하선,50.3
2,23.5,23시30분,을지로4가,내선,37.3
4,23.5,23시30분,남태령,하선,43.4
5,23.5,23시30분,영등포구청,상선,36.2
2,0.0,00시00분,사당,내선,24.7
4,0.0,00시00분,성신여대입구,상선,24.0
5,0.0,00시00분,영등포구청,상선,28.3
2,0.5,00시30분,대림,외선,20.6
4,0.5,00시30분,한성대입구,상선,18.2
5,0.5,00시30분,영등포구청,상선,19.5
