호선,출발역명,도착역명,방향,주중주말,평균_분,표준편차,최소_분,최대_분,측정횟수,구간
2,강남,교대,OUT,DAY,1.5,0.0,1.5,1.5,234,강남 → 교대
2,강남,교대,OUT,END,1.5,0.0,1.5,1.5,197,강남 → 교대
2,강남,교대,OUT,SAT,1.5,0.0,1.5,1.5,197,강남 → 교대
2,강남,역삼,IN,DAY,1.0,0.0,1.0,1.0,235,강남 → 역삼
2,강남,역삼,IN,END,1.0,0.0,1.0,1.0,194,강남 → 역삼
2,강남,역삼,IN,SAT,1.0,0.0,1.0,1.0,194,강남 → 역삼
2,강변,구의,IN,DAY,1.0,0.0,1.0,1.0,234,강변 → 구의
2,강변,구의,IN,END,1.0,0.0,1.0,1.0,194,강변 → 구의
2,강변,구의,IN,SAT,1.0,0.0,1.0,1.0,194,강변 → 구의
2,강변,잠실나루,OUT,DAY,2.0,0.0,2.0,2.0,235,강변 → 잠실나루
2,강변,잠실나루,OUT,END,2.0,0.0,2.0,2.0,197,강변 → 잠실나루
2,강변,잠실나루,OUT,SAT,2.0,0.0,2.0,2.0,197,강변 → 잠실나루
2,건대입구,구의,OUT,DAY,2.0,0.0,2.0,2.0,235,건대입구 → 구의
2,건대입구,구의,OUT,END,2.0,0.0,2.0,2.0,197,건대입구 → 구의
2,건대입구,구의,OUT,SAT,2.0,0.0,2.0,2.0,197,건대입구 → 구의
2,건대입구,성수,IN,DAY,1.5,0.0,1.5,1.5,234,건대입구 → 성수
2,건대입구,성수,IN,END,1.5,0.0,1.5,1.5,193,건대입구 → 성수
2,건대입구,성수,IN,SAT,1.5,0.0,1.5,1.5,193,건대입구 → 성수
2,교대,강남,IN,DAY,1.5,0.0,1.5,1.5,236,교대 → 강남
2,교대,강남,IN,END,1.5,0.0,1.5,1.5,194,교대 → 강남
2,교대,강남,IN,SAT,1.5,0.0,1.5,1.5,194,교대 → 강남
2,교대,서초,OUT,DAY,1.0,0.0,1.0,1.0,234,교대 → 서초
2,교대,서초,OUT,END,1.0,0.0,1.0,1.0,197,교대 → 서초
2,교대,서초,OUT,SAT,1.0,0.0,1.0,1.0,197,교대 → 서초
2,구로디지털단지,대림,OUT,DAY,1.5,0.0,1.5,1.5,231,구로디지털단지 → 대림
2,구로디지털단지,대림,OUT,END,1.5,0.0,1.5,1.5,197,구로디지털단지 → 대림
