호선,역명,평균혼잡도,최대혼잡도
2,강남,53.68,132.2
2,강변,30.87,66.2
2,건대입구,32.26,74.7
2,교대,55.57,132.3
2,구로디지털단지,42.14,91.3
2,구의,31.3,62.5
2,까치산,8.7,59.7
2,낙성대,51.19,129.1
2,당산,45.16,115.0
2,대림,44.24,90.2
2,도림천,28.54,118.4
2,동대문역사문화공원,43.67,94.0
2,뚝섬,33.37,76.7
2,문래,46.1,119.6
2,방배,55.96,142.3
2,봉천,45.06,107.6
2,사당,54.22,147.4
2,삼성,38.29,108.1
2,상왕십리,46.15,89.6
2,서울대입구,47.89,120.0
2,서초,55.77,140.0
2,선릉,44.77,100.4
2,성수,20.62,74.5
2,시청,42.05,111.5
2,신답,15.68,63.8
2,신당,46.24,93.0
2,신대방,40.26,80.8
2,신도림,28.07,126.4
2,신림,42.11,96.9
2,신설동,6.66,47.8
2,신정네거리,19.77,94.2
2,신촌(지하),41.05,116.3
2,아현,41.23,115.8
2,양천구청,25.88,118.3
2,역삼,50.4,126.5
2,영등포구청,45.24,116.0
2,왕십리,40.65,86.0
2,용답,17.18,79.4
2,용두,14.11,54.9
2,을지로3가,40.76,86.7
2,을지로4가,40.71,89.1
2,을지로입구,41.43,102.8
2,이대,40.59,112.0
2,잠실,33.38,93.8
2,잠실나루,30.68,65.2
2,잠실새내,36.14,101.6
2,종합운동장,36.29,107.7
2,충정로,41.72,114.4
2,한양대,34.98,79.0
2,합정,43.31,111.1
2,홍대입구,40.67,120.0
4,길음,39.43,126.0
4,남태령,48.94,133.2
4,노원,14.3,61.1
4,당고개,5.61,25.2
4,동대문,51.45,148.5
4,동대문역사문화공원,46.87,128.2
4,동작,29.35,77.0
4,명동,37.7,83.7
4,미아,34.18,109.2
4,미아삼거리,36.6,115.9
4,사당,28.65,74.5
4,삼각지,26.53,59.3
4,상계,9.12,43.3
4,서울역,30.43,59.5
4,성신여대입구,43.3,135.4
4,수유,31.34,107.9
4,숙대입구,25.81,55.6
4,신용산,27.16,63.6
4,쌍문,27.13,93.6
4,이촌,28.07,68.2
4,창동,21.07,80.0
4,총신대입구,30.49,76.0
4,충무로,40.33,100.9
4,한성대입구,45.97,143.5
4,혜화,49.19,140.7
4,회현,35.61,71.7
5,강동,36.6,93.1
5,강일,26.83,69.2
5,개롱,15.78,53.8
5,개화산,4.01,13.0
5,거여,9.43,42.1
5,고덕,38.29,100.9
5,공덕,37.96,102.1
5,광나루,46.17,107.7
5,광화문,35.35,81.3
5,군자,44.26,116.1
5,굽은다리,46.8,113.7
5,길동,50.99,128.0
5,김포공항,9.2,27.6
5,까치산,30.62,85.4
5,답십리,41.31,110.2
5,동대문역사문화공원,30.86,90.0
5,둔촌동,29.38,69.3
5,마곡,16.03,40.0
5,마장,42.29,110.5
5,마천,2.84,20.1
5,마포,38.95,99.3
5,명일,42.69,102.5
5,목동,34.72,112.6
5,미사,19.53,63.5
5,발산,20.03,45.1
5,방이,24.17,53.8
5,방화,1.38,7.0
5,상일동,30.78,79.9
5,서대문,35.58,86.6
5,송정,13.88,36.4
5,신금호,34.54,91.3
5,신길,35.51,129.8
5,신정,32.06,99.6
5,아차산,47.89,111.7
5,애오개,36.77,104.8
5,양평,41.96,125.4
5,여의나루,38.18,101.2
5,여의도,37.57,108.4
5,영등포구청,37.74,111.4
5,영등포시장,33.14,111.3
5,오금,20.85,48.1
5,오목교,38.97,121.7
5,올림픽공원(한국체대),26.99,55.6
5,왕십리,38.82,106.3
5,우장산,23.72,52.2
5,을지로4가,30.98,90.2
5,장한평,40.29,102.3
5,종로3가,33.19,100.1
5,천호,43.09,98.8
5,청구,33.19,89.2
5,충정로,36.09,97.4
5,하남검단산,2.77,11.0
5,하남시청,8.71,24.6
5,하남풍산,13.28,30.8
5,행당,34.42,87.3
5,화곡,28.02,71.2
