호선,역명,평균혼잡도,최대혼잡도
2,방배,55.96,142.3
2,서초,55.77,140.0
2,교대,55.57,132.3
2,사당,54.22,147.4
2,강남,53.68,132.2
2,낙성대,51.19,129.1
2,역삼,50.4,126.5
2,서울대입구,47.89,120.0
2,신당,46.24,93.0
2,상왕십리,46.15,89.6
4,동대문,51.45,148.5
4,혜화,49.19,140.7
4,남태령,48.94,133.2
4,동대문역사문화공원,46.87,128.2
4,한성대입구,45.97,143.5
4,성신여대입구,43.3,135.4
4,충무로,40.33,100.9
4,길음,39.43,126.0
4,명동,37.7,83.7
4,미아삼거리,36.6,115.9
5,길동,50.99,128.0
5,아차산,47.89,111.7
5,굽은다리,46.8,113.7
5,광나루,46.17,107.7
5,군자,44.26,116.1
5,천호,43.09,98.8
5,명일,42.69,102.5
5,마장,42.29,110.5
5,양평,41.96,125.4
5,답십리,41.31,110.2
