호선,출발역명,도착역명,방향,주중주말,평균소요시간_분,표준편차,최소_분,최대_분,측정횟수,구간,평균배차간격_분,복합지표,평균혼잡도,예측혼잡도,잔차,이상치
5,공덕,신정네거리,DOWN,DAY,58.17,,58.17,58.17,1,공덕 → 신정네거리,5.620898100172711,326.96764248704665,37.96,36.857639305182474,1.102360694817527,False
5,상일동,하남풍산,DOWN,DAY,6.17,,6.17,6.17,1,상일동 → 하남풍산,10.906462585034015,67.29287414965988,30.78,26.667871489890622,4.112128510109379,False
2,양천구청,신정네거리,UP,DAY,3.0,0.0,3.0,3.0,93,양천구청 → 신정네거리,10.542857142857144,31.628571428571423,25.88,25.2683864095766,0.6116135904233992,False
2,신정네거리,양천구청,DOWN,DAY,3.0,0.0,3.0,3.0,105,신정네거리 → 양천구청,10.533333333333331,31.6,19.76,25.267265252426224,-5.5072652524262224,False
5,하남풍산,미사,UP,DAY,2.5,0.0,2.5,2.5,90,하남풍산 → 미사,12.247191011235955,30.617977528089888,13.28,25.228730199358758,-11.948730199358758,False
2,용답,성수,UP,DAY,3.0,0.0,3.0,3.0,109,용답 → 성수,10.185185185185183,30.55555555555556,17.18,25.226280729929094,-8.046280729929094,False
5,미사,하남풍산,DOWN,DAY,2.5,0.02,2.5,2.67,93,미사 → 하남풍산,11.617753623188408,29.04438405797102,19.54,25.166981604380375,-5.626981604380376,False
5,하남시청,하남검단산,DOWN,DAY,2.5,0.0,2.5,2.5,94,하남시청 → 하남검단산,11.49283154121864,28.7320788530466,8.7,25.154726591904335,-16.454726591904336,False
2,신정네거리,까치산,UP,DAY,2.5,0.0,2.5,2.5,90,신정네거리 → 까치산,10.542857142857144,26.357142857142858,19.76,25.061532915331973,-5.301532915331972,False
2,도림천,양천구청,UP,DAY,2.5,0.0,2.5,2.5,94,도림천 → 양천구청,10.533333333333331,26.33333333333333,28.54,25.060598617706656,3.479401382293343,False
2,양천구청,도림천,DOWN,DAY,2.5,0.0,2.5,2.5,105,양천구청 → 도림천,10.5,26.25,25.88,25.057328576018058,0.8226714239819408,False
5,강일,상일동,UP,DAY,1.83,0.0,1.83,1.83,90,강일 → 상일동,12.247191011235955,22.4123595505618,26.83,24.90673764495178,1.9232623550482195,False
5,미사,강일,UP,DAY,1.83,0.0,1.83,1.83,90,미사 → 강일,12.247191011235955,22.4123595505618,19.54,24.90673764495178,-5.36673764495178,False
5,하남시청,하남풍산,UP,DAY,1.83,0.0,1.83,1.83,90,하남시청 → 하남풍산,12.247191011235955,22.4123595505618,8.7,24.90673764495178,-16.20673764495178,False
4,남태령,선바위,DOWN,DAY,2.5,0.0,2.5,2.5,125,남태령 → 선바위,8.669354838709678,21.6733870967742,48.94,24.87773999618442,24.062260003815577,True
5,강일,미사,DOWN,DAY,1.83,0.0,1.83,1.83,93,강일 → 미사,11.617753623188408,21.260489130434788,26.83,24.861537673427602,1.9684623265723964,False
5,하남풍산,하남시청,DOWN,DAY,1.83,0.02,1.67,1.83,94,하남풍산 → 하남시청,11.49283154121864,21.031881720430118,13.28,24.852567004295143,-11.572567004295143,False
5,둔촌동,강동,UP,DAY,1.83,0.0,1.83,1.83,96,둔촌동 → 강동,11.442105263157895,20.93905263157895,29.38,24.848924344409642,4.531075655590357,False
5,상일동,고덕,UP,DAY,1.67,0.0,1.67,1.67,90,상일동 → 고덕,12.247191011235955,20.452808988764044,30.78,24.82984390061578,5.95015609938422,False
5,상일동,강일,DOWN,DAY,1.83,0.0,1.83,1.83,93,상일동 → 강일,10.906462585034015,19.95882653061225,30.78,24.810459781836656,5.9695402181633455,False
5,고덕,상일동,DOWN,DAY,1.67,0.0,1.67,1.67,99,고덕 → 상일동,10.962962962962964,18.30814814814815,38.29,24.7456863363351,13.544313663664898,False
5,명일,고덕,DOWN,DAY,1.67,0.0,1.67,1.67,100,명일 → 고덕,10.962962962962964,18.30814814814815,42.7,24.7456863363351,17.9543136636649,False
